EMP. CODE,GENDER,MARITAL STATUS,DATE OF BIRTH,AGE,EXPERIENCE others,Experience IN ATAEIL,Total Experience,DATE_OF JOINING,GRADE,DEPARTMENT,DVISION,JOINING CTC,CURRENT CTC, WORKING STATUS,Satisfaction Level,Employer Appreciation,Job Involvement,Distance From Home,Number of Companies Worked,Percent Salary Hike,Training Times Last Year (In Hrs),Year Since Last Promotion,Average monthly hours
336,1,1,32781,28,0,3.37,3.37,41740,1,20,1,10000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
340,1,1,32670,28,4.2,3.31,7.51,41761,2,14,4,17612,23282,1,3.25,3.4,4.333333333,40,2,28,4,0,216.5625
341,1,2,31905,30,8,3.31,11.31,41761,1,16,5,18234,22398,1,3.6,4.8,5,6,0,18,12,0,200
344,1,1,32767,28,2.6,3.3,5.9,41766,2,7,1,22163,33677,1,3,3.2,4.333333333,6,0,17,12,0,200
345,1,2,30466,34,11,3.26,14.26,41778,4,1,4,43841,56348,1,3.2,3.4,4,35,4,29,0,0,219.375
350,1,2,25218,49,25,3.22,3.22,41792,1,18,1,38000,38000,2,2.5,3.1,3.3,5,0,5,4,0,200
354,1,2,28690,39,0,3.23,3.23,41791,1,20,1,11000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
355,1,1,31550,31,0,3.21,3.21,41796,1,20,1,10000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
361,1,1,32570,28,1.11,3.17,4.28,41813,2,12,4,14202,28827,1,3.2,3.6,3,13,1,74,4,0,186.75
363,1,2,27181,43,17,3.12,20.12,41831,3,20,1,22000,25000,2,2.5,3.1,3.3,5,0,5,4,0,200
366,1,2,24866,50,23,3.1,26.1,41837,5,1,4,75000,90000,1,3.5,3.3,3.9,25,5,20,0,0,209.8125
368,1,2,31495,31,6.5,3.09,9.59,41841,1,20,1,120000,32000,1,3.5,3.3,3.9,25,5,20,0,0,200
371,2,2,32453,29,0,3.05,3.05,41855,2,2,4,9000,19956,1,3.6,3.4,5,23,0,122,0,0,167.0625
376,2,1,34066,24,0,2.88,2.88,41918,2,17,1,10000,33582,1,3.2,4,4.333333333,8,0,26,16,0,194.625
377,2,1,34283,24,0,2.86,2.86,41925,2,6,1,10000,26000,2,2.5,3.1,3.3,5,0,5,4,0,200
380,1,1,33819,25,0,2.84,2.84,41932,2,23,1,10000,25000,2,2.5,3.1,3.3,5,0,5,4,0,200
382,1,2,28273,40,13,2.81,15.81,41944,4,28,1,81071,99071,1,2.8,3.4,3.333333333,17,5,18,6,0,222.1875
383,1,2,28069,41,14,2.81,16.81,41944,1,10,3,200000,200000,2,2.5,3.1,3.3,5,0,5,4,0,200
384,1,2,26314,46,16,2.77,18.77,41957,3,20,1,50000,66248,1,2.333333333,4.4,4.666666667,15,6,9,12,0,223.875
386,1,2,23575,53,24,2.77,26.77,41957,2,20,1,10000,10272,1,3.2,4,4,42,3,0,8,0,206.4375
388,1,1,33683,25,0,2.76,2.76,41961,2,20,1,10000,24511,1,2.6,3.6,3.333333333,3,0,0,14,0,212.625
392,1,1,33429,26,3.5,2.72,6.22,41978,1,20,1,12000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
394,1,2,28251,40,14,2.7,16.7,41985,1,24,8,35000,35000,2,2.5,3.1,3.3,5,0,5,4,0,200
395,1,1,32154,30,5.1,2.7,7.8,41985,2,29,1,15624,17000,2,2.5,3.1,3.3,5,0,5,4,0,200
397,1,2,24838,50,22,2.72,24.72,41978,5,20,1,92307,82000,2,2.5,3.1,3.3,5,0,5,4,0,200
399,1,2,28444,40,14,2.68,16.68,41992,1,20,1,12000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
400,2,1,30889,33,9,2.66,11.66,41998,1,2,4,38000,38000,2,2.5,3.1,3.3,5,0,5,4,0,200
403,1,2,30272,35,12,2.67,14.67,41993,2,16,1,19180,23800,1,3.5,3.3,3.9,7,4,20,10,0,209.8125
404,2,1,34640,23,2,2.64,4.64,42005,1,12,4,,10300,2,2.5,3.1,3.3,5,0,5,4,0,200
405,1,1,32849,28,0,2.64,2.64,42007,2,20,1,10000,21122,1,3.4,4,3.666666667,7,0,0,14,0,205.3125
406,1,2,31432,32,4,2.61,6.61,42016,3,10,4,43990,42000,2,2.5,3.1,3.3,5,0,5,4,0,200
407,1,2,31536,31,8,2.61,10.61,42016,3,12,1,32109,25000,2,2.5,3.1,3.3,5,0,5,4,0,200
411,1,1,32599,28,6,2.63,8.63,42009,2,20,1,23881,26282,1,3.4,4.6,5,7,2,9,10,0,206.4375
413,1,1,33307,26,1.4,2.58,3.98,42027,1,23,4,,18000,2,2.5,3.1,3.3,5,0,5,4,0,200
415,1,1,32866,28,2,2.57,4.57,42032,2,13,4,,25000,2,2.5,3.1,3.3,5,0,5,4,0,200
416,1,2,27601,42,19,2.56,21.56,42036,1,16,5,21398,25623,1,3.4,4.75,5,52,1,14,0,0,205.875
417,1,1,32750,28,4,2.48,6.48,42064,1,16,5,10491,11000,2,2.5,3.1,3.3,5,0,5,4,0,200
418,1,1,33184,27,1,2.54,3.54,42041,2,24,1,17882,16000,1,4,3,3,10,2,10,2,0,193.75
419,2,1,32709,28,3,2.52,5.52,42048,1,2,4,62000,62000,2,2.5,3.1,3.3,5,0,5,4,0,200
420,1,1,31828,31,4.1,2.5,6.6,42058,2,30,4,31509,38000,1,3.5,3.3,3.9,5,0,5,4,0,200
421,1,1,33574,26,3.4,2.49,5.89,42059,2,24,1,25577,28579,1,3.5,4.2,4,20,2,10,14,0,215.4375
422,1,2,31552,31,6,2.48,8.48,42064,1,16,5,10491,11000,2,2.5,3.1,3.3,5,0,5,4,0,200
423,2,2,31740,31,4,2.39,6.39,42095,3,10,4,43990,39000,2,2.5,3.1,3.3,5,0,5,4,0,200
425,1,1,27583,42,0,2.48,2.48,42064,1,29,10,10983,13255,2,2.3,3,2.5,7,0,15,8,0,203.0625
426,1,2,29312,37,14,2.46,16.46,42072,4,20,10,58334,47321,2,2.5,3.1,3.3,5,0,5,4,0,200
427,1,1,33604,26,0,2.45,2.45,42073,1,23,1,10000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
429,1,1,31762,31,5,2.42,7.42,42086,1,23,4,22000,22000,2,2.5,3.1,3.3,5,0,5,4,0,200
430,1,1,35197,21,2,2.39,4.39,42095,1,3,4,10000,10000,2,2.5,3.1,3.3,5,0,5,4,0,200
431,1,2,29027,38,4,2.39,6.39,42095,1,3,4,15087,15087,1,3.5,3.3,3.9,10,4,21,0,0,214.875
432,1,2,29356,37,5,2.39,7.39,42095,1,3,4,15087,15087,1,3.5,3.3,3.9,10,2,21,0,0,216
433,1,2,32440,29,1.6,2.36,3.96,42107,2,23,2,15000,15000,2,2.5,3.1,3.3,5,0,5,4,0,200
434,1,1,32073,30,2.5,2.36,4.86,42107,1,29,5,14000,14000,2,2.5,3.1,3.3,5,0,5,4,0,200
435,1,2,30662,34,5.7,2.33,8.03,42118,3,20,5,38471,38471,2,2.4,2.6,3.333,5,0,5,4,0,200
436,1,2,29952,36,9,2.29,11.29,42134,4,16,1,55828,55828,2,2.5,3.1,3.3,5,0,5,4,0,200
437,1,1,33892,25,0,2.24,2.24,42150,2,23,1,18000,18000,1,3.5,3.3,3.9,5,0,5,4,0,200
438,1,1,33153,27,0,2.24,2.24,42150,2,23,1,17000,17000,1,1.5,2,2,15,1,6,2,0,193.75
439,1,1,31794,31,0,2.24,2.24,42150,2,23,1,19798,19798,1,3,3,3,7,0,0,10,0,224.4375
440,1,2,29386,37,0,2.24,2.24,42153,1,29,1,12257,12257,1,3,4.6,4.333333333,8,2,16,8,0,207
441,1,2,30197,35,8,2.23,10.23,42156,4,7,1,80000,80000,2,2.5,3.1,3.3,12,0,6,4,0,200
442,1,1,33133,27,0,2.19,2.19,42169,2,24,1,19798,19798,1,1.5,2,2.5,8,1,0,12,0,179.4375
443,1,1,26063,46,8,2.19,10.19,42169,2,20,5,18000,18000,2,2.5,3.1,3.3,12,0,6,4,0,200
444,1,1,33368,26,0,2.19,2.19,42171,1,24,1,19798,19798,2,2.6,3,3.666666667,8,1,0,12,0,186.75
445,1,2,28277,40,6.9,2.17,9.07,42178,2,29,1,15000,15000,2,2.5,3.1,3.3,12,0,6,4,0,200
446,1,1,33363,26,2.8,2.16,4.96,42181,2,24,1,20000,20000,2,2.5,3.1,3.3,12,0,6,4,0,200
447,1,1,32660,28,1.9,2.15,4.05,42186,1,29,1,17000,17000,2,2.5,3.1,3.3,12,0,6,4,0,200
448,1,1,33000,27,2,2.14,4.14,42188,1,6,1,17000,17000,2,2.5,3.1,3.3,12,0,6,4,0,200
449,1,2,30897,33,5,2.14,7.14,42188,2,24,1,18000,18000,2,2.5,3.1,3.3,12,0,6,4,0,200
450,1,2,30610,34,8,2.1,10.1,42202,3,12,5,39334,39334,1,3.2,4.6,5,18,4,18,0,0,175.5
451,1,2,30984,33,6,2.09,8.09,42205,3,7,1,88532,88532,1,2,2,2,10,2,8,14,0,208.125
452,1,2,34153,24,0,2.06,2.06,42217,1,24,1,19000,19000,2,2.5,3.1,3.3,12,0,6,4,0,200
453,1,2,34160,24,0,2.06,2.06,42217,1,23,1,19797,19797,1,3.2,4,3.666666667,3,0,22,6,0,207.5625
454,1,1,32482,29,2,1.98,3.98,42248,2,7,1,21918,21918,1,1.9,2.1,2.5,10,1,0,12,0,208.125
455,1,1,31986,30,3,1.93,4.93,42265,2,23,1,24000,24000,2,2.5,3.1,3.3,12,0,6,4,0,200
456,2,1,33933,25,0,1.89,1.89,42278,1,6,1,15000,15000,2,2.5,3.1,3.3,12,0,6,4,0,200
457,1,2,30815,33,11,1.89,12.89,42278,3,12,1,35000,35000,1,1.9,2.1,2.5,12,0,6,4,0,200
458,1,2,30233,35,10.2,1.89,12.09,42279,2,29,1,22000,22000,1,2,2.5,2.2,12,0,6,4,0,200
459,1,1,31640,31,0.7,1.87,2.57,42286,1,12,1,19971.67722,19971.67722,1,3,4,5,8,1,34,6,0,203.0625
460,2,2,34402,23,0,1.85,1.85,42295,1,28,1,22556.20028,22556.20028,1,1.8,2,1.9,12,0,6,4,0,200
461,1,1,32072,30,1,1.84,2.84,42296,1,12,1,19621.67722,19621.67722,1,3.4,4.6,3.666666667,8,1,34,14,0,208.125
462,1,1,34141,24,0,1.81,1.81,42309,1,23,1,19877.41222,19877.41222,1,3,3.2,3.666666667,5,0,0,12,0,209.25
463,1,2,27334,43,19,1.77,20.77,42322,3,24,5,34321,34321,2,2.5,3.1,3.3,12,0,6,4,0,200
464,1,2,24661,50,25,1.77,26.77,42322,5,4,8,125000,125000,2,2.5,3.1,3.3,12,0,6,4,0,200
465,1,2,25963,47,20,1.58,21.58,42391,4,23,1,68048,68048,2,2.5,3.1,3.3,12,0,6,4,0,200
466,2,1,33289,27,0.11,1.64,1.75,42369,2,6,1,20006,20006,2,2.5,3.1,3.3,12,0,6,4,0,200
